,session_id,user_id,music_id,previous_value,new_value,updated_value
0,540.0,5,9,0.25,0.3233173713088035,0.2866586856544018
0,540.0,5,15,0.5,0.5156675378481547,0.5078337689240773
0,540.0,5,23,0.625,0.3657737622658412,0.4953868811329206
0,540.0,5,38,0.5,0.3821025416254997,0.4410512708127498
0,540.0,5,39,0.75,0.4190204739570617,0.5845102369785309
0,540.0,5,48,0.5,0.5253203213214874,0.5126601606607437
0,540.0,5,72,0.375,0.3315615765750408,0.3532807882875204
0,540.0,5,91,1.0,0.3265796254078547,0.6632898127039274
0,540.0,5,99,0.25,0.305927317057337,0.2779636585286685
0,544.0,16,91,1.0,0.4341192444165547,0.7170596222082773
0,545.0,16,9,0.25,0.3681529641151428,0.3090764820575714
0,545.0,16,91,0.7170596222082773,0.4736530582110087,0.595356340209643
0,549.0,16,39,0.75,0.3986428678035736,0.5743214339017868
0,549.0,16,91,0.595356340209643,0.3626842796802521,0.4790203099449475
0,557.0,8,39,0.75,0.2652551233768463,0.5076275616884232
0,557.0,8,91,1.0,0.3860349059104919,0.693017452955246
0,560.0,14,22,0.375,0.3743154605229695,0.3746577302614847
0,560.0,14,29,0.5,0.3367825150489807,0.4183912575244903
0,560.0,14,67,0.375,0.3334990739822387,0.3542495369911194
0,560.0,14,96,0.5,0.4332253001630306,0.4666126500815153
0,562.0,7,42,0.875,0.2914919823408127,0.5832459911704063
0,562.0,7,49,0.625,0.2810177803039551,0.4530088901519775
0,562.0,7,84,1.0,0.3908577561378479,0.695428878068924
0,563.0,5,11,1.0,0.4504767755667369,0.7252383877833685
0,563.0,5,15,0.5078337689240773,0.371535857518514,0.4396848132212956
0,563.0,5,20,0.25,0.4147298733393351,0.3323649366696676
0,563.0,5,21,0.75,0.3121785037219524,0.5310892518609762
0,563.0,5,42,0.875,0.4377351999282837,0.6563675999641418
0,563.0,5,45,0.75,0.2664229373137156,0.5082114686568578
0,563.0,5,49,0.625,0.3277310244739055,0.4763655122369528
0,563.0,5,60,1.0,0.3048275485634804,0.6524137742817402
0,563.0,5,72,0.3532807882875204,0.2528964150696993,0.3030886016786098
0,565.0,6,9,0.25,0.3326654195785522,0.2913327097892761
0,565.0,6,48,0.5,0.3015744984149933,0.4007872492074966
0,565.0,6,91,1.0,0.3460409839948018,0.6730204919974009
