,session_id,user_id,music_id,previous_value,new_value,updated_value
0,540.0,5,9,0.0,0.3233173713088035,0.1616586856544017
0,540.0,5,15,0.1616586856544017,0.5156675378481547,0.3386631117512781
0,540.0,5,23,0.3386631117512781,0.3657737622658412,0.3522184370085596
0,540.0,5,38,0.3522184370085596,0.3821025416254997,0.3671604893170296
0,540.0,5,39,0.3671604893170296,0.4190204739570617,0.3930904816370457
0,540.0,5,48,0.3930904816370457,0.5253203213214874,0.4592054014792666
0,540.0,5,72,0.4592054014792666,0.3315615765750408,0.3953834890271537
0,540.0,5,91,0.3953834890271537,0.3265796254078547,0.3609815572175042
0,540.0,5,99,0.3609815572175042,0.305927317057337,0.3334544371374206
0,544.0,16,91,0.0,0.4341192444165547,0.2170596222082773
0,545.0,16,9,0.2170596222082773,0.3681529641151428,0.29260629316171
0,545.0,16,91,0.29260629316171,0.4736530582110087,0.3831296756863593
0,549.0,16,39,0.3831296756863593,0.3986428678035736,0.3908862717449665
0,549.0,16,91,0.3908862717449665,0.3626842796802521,0.3767852757126093
0,557.0,8,39,0.0,0.2652551233768463,0.1326275616884231
0,557.0,8,91,0.1326275616884231,0.3860349059104919,0.2593312337994575
0,560.0,14,22,0.0,0.3743154605229695,0.1871577302614847
0,560.0,14,29,0.1871577302614847,0.3367825150489807,0.2619701226552327
0,560.0,14,67,0.2619701226552327,0.3334990739822387,0.2977345983187357
0,560.0,14,96,0.2977345983187357,0.4332253001630306,0.3654799492408832
0,562.0,7,42,0.0,0.2914919823408127,0.1457459911704063
0,562.0,7,49,0.1457459911704063,0.2810177803039551,0.2133818857371807
0,562.0,7,84,0.2133818857371807,0.3908577561378479,0.3021198209375143
0,563.0,5,11,0.3334544371374206,0.4504767755667369,0.3919656063520788
0,563.0,5,15,0.3919656063520788,0.371535857518514,0.3817507319352964
0,563.0,5,20,0.3817507319352964,0.4147298733393351,0.3982403026373158
0,563.0,5,21,0.3982403026373158,0.3121785037219524,0.3552094031796341
0,563.0,5,42,0.3552094031796341,0.4377351999282837,0.3964723015539589
0,563.0,5,45,0.3964723015539589,0.2664229373137156,0.3314476194338372
0,563.0,5,49,0.3314476194338372,0.3277310244739055,0.3295893219538713
0,563.0,5,60,0.3295893219538713,0.3048275485634804,0.3172084352586758
0,563.0,5,72,0.3172084352586758,0.2528964150696993,0.2850524251641875
0,565.0,6,9,0.0,0.3326654195785522,0.1663327097892761
0,565.0,6,48,0.1663327097892761,0.3015744984149933,0.2339536041021347
0,565.0,6,91,0.2339536041021347,0.3460409839948018,0.2899972940484682
0,565.0,6,99,0.2899972940484682,0.3477712273597717,0.3188842607041199
0,567.0,16,15,0.3767852757126093,0.4743824005126953,0.4255838381126523
0,567.0,16,20,0.4255838381126523,0.4902074337005615,0.4578956359066069
0,567.0,16,23,0.4578956359066069,0.4652016162872314,0.4615486260969191
0,567.0,16,38,0.4615486260969191,0.4951176196336746,0.4783331228652968
0,567.0,16,60,0.4783331228652968,0.5198825001716614,0.499107811518479
0,567.0,16,72,0.499107811518479,0.5102777481079102,0.5046927798131946
0,568.0,17,39,0.0,0.5737778345743815,0.2868889172871907
0,571.0,14,9,0.3654799492408832,0.3545308947563171,0.3600054219986002
0,571.0,14,99,0.3600054219986002,0.3292993967022214,0.3446524093504108
0,572.0,16,11,0.5046927798131946,0.5549601316452026,0.5298264557291986
0,572.0,16,15,0.5298264557291986,0.4433681766192118,0.4865973161742052
0,572.0,16,20,0.4865973161742052,0.5167773763338724,0.5016873462540388
0,572.0,16,21,0.5016873462540388,0.5274021849036217,0.5145447655788302
0,572.0,16,49,0.5145447655788302,0.4496272504329681,0.4820860080058992
0,572.0,16,60,0.4820860080058992,0.6113407760858536,0.5467133920458764
0,572.0,16,72,0.5467133920458764,0.5000944137573242,0.5234039029016003
0,573.0,16,9,0.5234039029016003,0.5673721035321554,0.5453880032168779
0,573.0,16,91,0.5453880032168779,0.4866213202476501,0.516004661732264
0,573.0,16,99,0.516004661732264,0.534303605556488,0.525154133644376
0,576.0,14,99,0.3446524093504108,0.2596536810908998,0.3021530452206553
0,578.0,14,23,0.3021530452206553,0.2173828606804212,0.2597679529505382
0,578.0,14,38,0.2597679529505382,0.2831940241158008,0.2714809885331695
0,578.0,14,48,0.2714809885331695,0.3690174520015716,0.3202492202673705
0,582.0,6,38,0.3188842607041199,0.3247608616948128,0.3218225611994663
0,582.0,6,48,0.3218225611994663,0.4422700802485148,0.3820463207239906
0,582.0,6,72,0.3820463207239906,0.2858028560876846,0.3339245884058376
0,583.0,6,15,0.3339245884058376,0.2887032330036163,0.3113139107047269
0,583.0,6,23,0.3113139107047269,0.4123187611500422,0.3618163359273846
0,583.0,6,38,0.3618163359273846,0.2885390967130661,0.3251777163202253
0,583.0,6,72,0.3251777163202253,0.3222338631749153,0.3237057897475703
0,585.0,5,4,0.2850524251641875,0.3141751810908317,0.2996138031275096
0,585.0,5,5,0.2996138031275096,0.3760398825009663,0.337826842814238
0,585.0,5,7,0.337826842814238,0.4590120315551758,0.3984194371847069
0,585.0,5,11,0.3984194371847069,0.4102244178454081,0.4043219275150575
0,585.0,5,14,0.4043219275150575,0.3416128247976303,0.3729673761563439
0,585.0,5,17,0.3729673761563439,0.3260614648461342,0.349514420501239
0,585.0,5,19,0.349514420501239,0.3761744797229767,0.3628444501121078
0,585.0,5,21,0.3628444501121078,0.3174484334886074,0.3401464418003576
0,585.0,5,42,0.3401464418003576,0.2831356167793274,0.3116410292898425
0,585.0,5,46,0.3116410292898425,0.3118551939725876,0.3117481116312151
0,585.0,5,49,0.3117481116312151,0.4665834158658981,0.3891657637485566
